طابع زمني,Are you a student at University of Gezira?,Age,Gender,Faculty,Academic level,Causes of dental caries,Causes of bleeding during tooth brushing:,Influence of dental plaque:,Measures that prevent oral diseases:,Systemic diseases that may be related to oral diseases:,Which is more important for oral health: self-administration or dentist?:,Frequency of daily tooth brushing.,Duration of tooth brushing.,Frequency of replacing tooth brush.,Frequency of visiting dentist.,Method of tooth brushing:,Oral hygiene methods besides tooth brushing:,What oral health problem(s) do you have (you can choose more than one):
9/25/2023 1:18:02,Yes,21,Male,Dentistry,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Including periodontal diseases","Application of fluoride, Tooth scaling","Heart diseases, Other diseases",Self-administration of oral hygiene,2,One minute or less,Every three months,When I have a dental problem/oral disease,Horizontal scrub,"Dental floss, Mouthwash",No problem
9/25/2023 2:19:39,Yes,23,Female,Dentistry,Fifth year,Frequent ingestion of sugar,"Periodontal disease, Brushing too hard, Systemic disease",Including periodontal diseases,"Application of fluoride, Pit & fissure sealing, Tooth scaling",Diabetes mellitus,Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum","Bad breath, Dental caries"
9/25/2023 4:53:19,Yes,24,Female,Dentistry,Fifth year,Dynamic of oral micro-flora,Periodontal disease,Inducing dental caries,Tooth scaling,Diabetes mellitus,Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",Dental caries
9/25/2023 7:05:11,Yes,26,Male,Medicine,Fourth year,Don't know,Brushing too hard,Don't know,Don't know,"Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Until it can't be used,More than 2 times a year,Modified pass technique,Mouthwash,"Bad breath, Oral ulcers, Tooth discoloration, Tooth hypersensitivity"
9/25/2023 7:14:12,Yes,24,Male,Medicine,Fifth year,"Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Not a big deal","Application of fluoride, Pit & fissure sealing","Heart diseases, Diabetes mellitus",Self-administration of oral hygiene,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,"Mouthwash, Toothpick",No problem
9/25/2023 7:41:59,Yes,18,Female,Medicine,First year,Inadequate tooth brushing,Brushing too hard,Not a big deal,Application of fluoride,None of the above,Regular visit to dentist,2,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Modified pass technique,Sugar-free chewing gum,Toothache
9/25/2023 7:42:15,Yes,23,Male,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,More than 3 minutes,Every three months,Twice a year,Modified pass technique,"Mouthwash, Sugar-free chewing gum, Toothpick","Dental caries, Tooth discoloration"
9/25/2023 7:59:15,Yes,23,Male,Medicine,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries","Application of fluoride, Tooth scaling","Heart diseases, Hypertension, Cancer",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Once a year,Modified pass technique,"Mouthwash, Sugar-free chewing gum, Toothpick",Dental caries
9/25/2023 9:45:56,Yes,23,Male,Medicine,Fifth year,"Toothpaste without fluoride, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Including periodontal diseases","Application of fluoride, Tooth scaling","Diabetes mellitus, Hypertension, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Once a year,Vertical scrub,Dental floss,No problem
9/25/2023 9:55:08,Yes,21,Male,Dentistry,Second year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Including periodontal diseases",Tooth scaling,"Heart diseases, Cancer",Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Horizontal scrub,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",No problem
9/25/2023 10:05:27,Yes,24,Male,Medicine,Fifth year,Inadequate tooth brushing,"Periodontal disease, Brushing too hard, Systemic disease",Affecting appearance,"Application of fluoride, Pit & fissure sealing","Heart diseases, Other diseases",Regular visit to dentist,2,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Modified pass technique,Mouthwash,Tooth discoloration
9/25/2023 10:40:34,Yes,24,Male,Medicine,Fourth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Brushing too hard, Systemic disease","Affecting appearance, Including periodontal diseases",Tooth scaling,"Heart diseases, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,None,No problem
9/25/2023 11:23:58,No,,,,,,,,,,,,,,,,,
9/25/2023 11:41:53,Yes,19,Male,Medicine,First year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing",Periodontal disease,Including periodontal diseases,"Application of fluoride, Tooth scaling","Diabetes mellitus, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",1,More than 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,"Dental floss, Mouthwash",Dental caries
9/25/2023 11:52:30,Yes,18,Female,Medicine,First year,Frequent ingestion of sugar,Brushing too hard,Including periodontal diseases,Don't know,Other diseases,Regular visit to dentist,2,More than 3 minutes,Every three months,Twice a year,Horizontal scrub,Mouthwash,No problem
9/25/2023 11:57:29,Yes,19,Female,Medicine,Second year,Inadequate tooth brushing,Brushing too hard,Inducing dental caries,Tooth scaling,Heart diseases,Self-administration of oral hygiene,2,More than 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,None,Tooth discoloration
9/25/2023 11:57:53,Yes,18,Female,Medicine,First year,Don't know,Don't know,Don't know,Don't know,Don't know,Regular visit to dentist,2,One minute or less,Every three months,More than 2 times a year,Vertical scrub,"Toothpick, None",No problem
9/25/2023 12:13:52,Yes,19,Female,Medicine,First year,Toothpaste without fluoride,"Brushing too hard, Systemic disease",Don't know,Application of fluoride,Other diseases,"Self-administration of oral hygiene, Regular visit to dentist",1,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,"Dental floss, Toothpick","Dental caries, Toothache, Tooth discoloration, Tooth hypersensitivity"
9/25/2023 15:37:23,Yes,21,Male,Medicine,Third year,Inadequate tooth brushing,Brushing too hard,"Including periodontal diseases, Not a big deal",Tooth scaling,"Hypertension, Cancer",Self-administration of oral hygiene,More than 2,More than 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Horizontal scrub,Dental floss,Oral ulcers
9/25/2023 18:03:37,Yes,22,Female,Dentistry,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing","Heart diseases, Diabetes mellitus, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Twice a year,Irregular,"Dental floss, Sugar-free chewing gum","Dental caries, Tooth discoloration, Tooth hypersensitivity"
9/25/2023 18:27:17,Yes,35,Female,Medicine,Fifth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing",Systemic disease,"Affecting appearance, Inducing dental caries, Including periodontal diseases",,Don't know,Self-administration of oral hygiene,1,More than 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Horizontal scrub,None,No problem
9/25/2023 19:28:27,Yes,19,Female,Dentistry,Third year,Don't know,Don't know,Don't know,Tooth scaling,None of the above,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Once a year,Vertical scrub,None,No problem
9/25/2023 20:37:55,Yes,23 years old,Male,Dentistry,Third year,Frequent ingestion of sugar,Periodontal disease,Including periodontal diseases,Application of fluoride,Diabetes mellitus,Regular visit to dentist,2,2 to 3 minutes,Every three months,Once a year,Vertical scrub,Mouthwash,No problem
9/26/2023 0:00:01,Yes,21,Female,Dentistry,Second year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",,"Application of fluoride, Pit & fissure sealing","Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Twice a year,,"Dental floss, Mouthwash, Sugar-free chewing gum",No problem
9/26/2023 2:38:43,Yes,24,Female,Dentistry,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Cancer, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,Mouthwash,"Bad breath, Tooth hypersensitivity"
9/26/2023 7:51:40,Yes,20,Female,Medicine,Third year,Frequent ingestion of sugar,Brushing too hard,Affecting appearance,"Application of fluoride, Tooth scaling","Hypertension, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Fones technique,Sugar-free chewing gum,"Dental caries, Tooth discoloration"
9/26/2023 9:29:54,Yes,18,Female,Medicine,First year,Don't know,"Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease",Don't know,Don't know,"Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Mouthwash, Toothpick",No problem
9/26/2023 10:24:26,Yes,21,Female,Dentistry,Second year,Inadequate tooth brushing,"Periodontal disease, Brushing too hard",Don't know,"Application of fluoride, Tooth scaling","Diabetes mellitus, Hypertension, Cancer",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Horizontal scrub,Sugar-free chewing gum,Dental caries
9/26/2023 16:29:33,Yes,24,Male,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Affecting appearance,"Application of fluoride, Tooth scaling","Heart diseases, Cancer, Other diseases",Regular visit to dentist,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,Mouthwash,Little or _ can't be seen _ blackness at last molar tooth 
9/26/2023 18:36:04,Yes,24,Male,Dentistry,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus",Self-administration of oral hygiene,2,2 to 3 minutes,Every two months,Twice a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",No problem
9/26/2023 20:07:51,Yes,19,Female,Medicine,Second year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Brushing too hard,Don't know,Don't know,Diabetes mellitus,Self-administration of oral hygiene,More than 2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash",No problem
9/27/2023 16:07:56,Yes,18,Male,Medicine,First year,Don't know,Brushing too hard,Affecting appearance,Don't know,Don't know,Self-administration of oral hygiene,1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Horizontal scrub,None,"Bad breath, Dental caries, Tooth discoloration"
10/1/2023 9:01:38,Yes,20,Male,Medicine,Third year,Frequent ingestion of sugar,"Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries",Application of fluoride,"Heart diseases, Diabetes mellitus",Self-administration of oral hygiene,2,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Irregular,None,Dental pluqes
10/1/2023 9:11:18,Yes,21,Female,Medicine,Third year,"Toothpaste without fluoride, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard, Systemic disease","Inducing dental caries, Including periodontal diseases","Application of fluoride, Tooth scaling","Diabetes mellitus, Hypertension, Cancer",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Once a year,Modified pass technique,"Mouthwash, Sugar-free chewing gum, Toothpick","Bad breath, Dental caries, Oral ulcers, Tooth hypersensitivity"
10/1/2023 9:28:51,Yes,23,Male,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease",Don't know,Application of fluoride,"Heart diseases, Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",More than 2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,"Mouthwash, Sugar-free chewing gum, Toothpick","Bad breath, Dental caries, Toothache"
10/1/2023 10:13:48,Yes,20,Male,Medicine,Second year,"Toothpaste without fluoride, Dynamic of oral micro-flora","Periodontal disease, Brushing too hard, Systemic disease",Don't know,"Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Cancer, Other diseases",Self-administration of oral hygiene,1,More than 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Modified pass technique,Mouthwash,No problem
10/1/2023 11:58:17,Yes,20,Female,Medicine,Third year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Brushing too hard, Systemic disease",Don't know,Application of fluoride,Don't know,Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,"Dental floss, Mouthwash, Sugar-free chewing gum",Tooth discoloration
10/1/2023 12:11:37,Yes,21,Male,Medicine,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases",Don't know,Heart diseases,Self-administration of oral hygiene,1,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Vertical scrub,None,"Bad breath, Tooth discoloration"
10/1/2023 12:49:09,Yes,23,Male,Medicine,Third year,"Frequent ingestion of sugar, Inadequate tooth brushing",Brushing too hard,Inducing dental caries,Don't know,Other diseases,Regular visit to dentist,2,More than 3 minutes,Until it can't be used,Twice a year,,Toothpick,"Gingival bleeding, Tooth discoloration"
10/1/2023 14:04:28,Yes,22,Female,Medicine,Third year,Dynamic of oral micro-flora,Periodontal disease,Inducing dental caries,"Application of fluoride, Pit & fissure sealing","Diabetes mellitus, Other diseases",Self-administration of oral hygiene,2,More than 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash, Toothpick",No problem
10/1/2023 16:38:45,Yes,21,Male,Medicine,Third year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Don't know,Don't know,Tooth scaling,"Diabetes mellitus, Hypertension, Cancer",Regular visit to dentist,2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,Mouthwash,"Oral ulcers, Toothache, Tooth discoloration, Tooth hypersensitivity"
10/1/2023 17:30:21,Yes,19,Female,Dentistry,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Tooth scaling","Heart diseases, Diabetes mellitus, Cancer",Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Horizontal scrub,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick",No problem
10/1/2023 17:35:13,Yes,21,Male,Dentistry,Second year,Don't know,,,,,Regular visit to dentist,1,More than 3 minutes,Every three months,Once a year,,Dental floss,No problem
10/1/2023 18:09:10,,,,,,,,,,,,,,,,,,
10/1/2023 18:16:51,Yes,20,Female,Dentistry,Second year,Frequent ingestion of sugar,Periodontal disease,Inducing dental caries,Application of fluoride,Don't know,Regular visit to dentist,2,2 to 3 minutes,Every two months,Twice a year,,Dental floss,Dental caries
10/1/2023 23:05:04,Yes,21,Female,Dentistry,Second year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries",Tooth scaling,"Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",More than 2,More than 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash, Toothpick",No problem
10/2/2023 0:07:46,Yes,18,Male,Medicine,Second year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Brushing too hard,"Inducing dental caries, Not a big deal",Don't know,Diabetes mellitus,"Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Irregular,"Dental floss, Mouthwash, Sugar-free chewing gum, Toothpick","Dental caries, "
10/2/2023 5:00:02,,,,,,,,,,,,,,,,,,
10/2/2023 11:28:38,Yes,20,Female,Dentistry,Second year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard",Affecting appearance,Don't know,"Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Until it can't be used,Twice a year,,"Dental floss, Mouthwash, Sugar-free chewing gum",Dental caries
10/4/2023 22:28:04,Yes,23,Female,Dentistry,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling",Diabetes mellitus,"Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,When I have a dental problem/oral disease,Horizontal scrub,Dental floss,No problem
10/5/2023 0:58:16,Yes,23,Female,Dentistry,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Periodontal disease,"Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing","Diabetes mellitus, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash",No problem
10/5/2023 1:30:29,Yes,24,Female,Dentistry,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer, Other diseases",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,Twice a year,Vertical scrub,"Dental floss, Mouthwash, Sugar-free chewing gum","Dental caries, Toothache, Tooth discoloration, Dental plaque "
10/5/2023 1:59:55,Yes,23,Male,Dentistry,Fourth year,Frequent ingestion of sugar,"Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Cancer","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every month,When I have a dental problem/oral disease,Irregular,None,Tooth hypersensitivity
10/5/2023 8:10:04,Yes,24,Male,Dentistry,Fourth year,Frequent ingestion of sugar,Periodontal disease,Including periodontal diseases,Application of fluoride,Diabetes mellitus,Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,Dental floss,No problem
10/5/2023 11:31:15,Yes,22,Male,Medicine,Fourth year,"Dynamic of oral micro-flora, Inadequate tooth brushing",Brushing too hard,Affecting appearance,"Application of fluoride, Pit & fissure sealing",Heart diseases,Regular visit to dentist,2,More than 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Modified pass technique,Mouthwash,"Dental caries, Toothache"
10/5/2023 12:13:50,Yes,22,Female,Dentistry,Fourth year,"Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing","Diabetes mellitus, Cancer",Self-administration of oral hygiene,2,2 to 3 minutes,Every three months,More than 2 times a year,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum",No problem
10/5/2023 14:22:58,Yes,23,Male,Medicine,Fourth year,"Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Natural physiological phenomenon, Brushing too hard, Systemic disease","Inducing dental caries, Not a big deal",Application of fluoride,"Heart diseases, Hypertension","Self-administration of oral hygiene, Regular visit to dentist",1,One minute or less,Until it can't be used,When I have a dental problem/oral disease,Irregular,"Mouthwash, Sugar-free chewing gum","Bad breath, No problem"
10/5/2023 15:07:31,Yes,28,Male,Dentistry,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing",Periodontal disease,"Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Hypertension, Cancer","Self-administration of oral hygiene, Regular visit to dentist",1,2 to 3 minutes,Until it can't be used,When I have a dental problem/oral disease,Vertical scrub,Dental floss,No problem
10/5/2023 17:43:20,Yes,22,Male,Dentistry,Fourth year,Frequent ingestion of sugar,Periodontal disease,Inducing dental caries,Application of fluoride,"Heart diseases, Diabetes mellitus, Hypertension, Cancer",Regular visit to dentist,2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,"Dental floss, Mouthwash",Dental caries
10/6/2023 19:00:21,Yes,28,Female,Dentistry,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard",Affecting appearance,"Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Cancer, Other diseases",Self-administration of oral hygiene,More than 2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,"Dental floss, Mouthwash","Dental caries, Tooth hypersensitivity"
10/8/2023 12:56:11,Yes,24,Female,Dentistry,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Dynamic of oral micro-flora, Inadequate tooth brushing","Periodontal disease, Brushing too hard, Systemic disease","Affecting appearance, Inducing dental caries, Including periodontal diseases","Application of fluoride, Pit & fissure sealing, Tooth scaling","Heart diseases, Diabetes mellitus, Hypertension, Cancer, Other diseases","Self-administration of oral hygiene, Regular visit to dentist",2,2 to 3 minutes,Every three months,Twice a year,Modified pass technique,Dental floss,Gingival bleeding
10/20/2023 7:25:02,Yes,19,Male,Medicine,First year,Don't know,Don't know,Don't know,Application of fluoride,None of the above,Self-administration of oral hygiene,2,One minute or less,Every two months,When I have a dental problem/oral disease,Irregular,None,No problem
10/25/2023 19:17:32,Yes,25,Female,Dentistry,Fourth year,"Toothpaste without fluoride, Frequent ingestion of sugar, Inadequate tooth brushing","Periodontal disease, Brushing too hard",Inducing dental caries,"Application of fluoride, Pit & fissure sealing, Tooth scaling","Diabetes mellitus, Hypertension, Other diseases",Regular visit to dentist,1,More than 3 minutes,Every three months,When I have a dental problem/oral disease,Modified pass technique,"Dental floss, Mouthwash, Sugar-free chewing gum",Dental caries
